terminal,time,cpu,memory
mlterm,01.40,122,11220
mlterm,01.40,123,11076
mlterm,01.40,123,10900
mlterm,01.38,124,11220
mlterm,01.38,123,11108
mlterm,01.39,123,11044
mlterm,01.37,124,11180
mlterm,01.39,123,11144
mlterm,01.39,123,10916
mlterm,01.40,123,11080
mlterm,01.37,123,11140
mlterm,01.37,123,11004
mlterm,01.40,122,10860
mlterm,01.38,124,11140
mlterm,01.37,123,11092
mlterm,01.38,122,11092
mlterm,01.37,124,11176
mlterm,01.37,124,11260
mlterm,01.36,124,11060
mlterm,01.40,123,11060
mlterm,01.36,123,11084
mlterm,01.35,124,11124
mlterm,01.36,123,11152
mlterm,01.37,124,10924
mlterm,01.38,124,11036
mlterm,01.38,123,10992
mlterm,01.39,123,11064
mlterm,01.37,124,11048
mlterm,01.40,123,11092
mlterm,01.37,124,11004
mlterm,01.36,124,11064
mlterm,01.36,124,11096
mlterm,01.36,125,11108
mlterm,01.35,124,10912
mlterm,01.37,123,11068
mlterm,01.35,124,10968
mlterm,01.37,123,11092
mlterm,01.37,124,10988
mlterm,01.40,122,11096
mlterm,01.37,124,11116
mlterm,01.40,123,10992
mlterm,01.41,122,11084
mlterm,01.38,122,11068
mlterm,01.38,123,11116
mlterm,01.39,123,11080
mlterm,01.37,124,11144
mlterm,01.38,123,11224
mlterm,01.58,120,11092
mlterm,01.39,122,11228
mlterm,01.35,124,11184
mlterm,01.37,123,11268
mlterm,01.37,124,11076
mlterm,01.40,123,11088
mlterm,01.36,124,11020
mlterm,01.40,123,11264
mlterm,01.39,123,11000
mlterm,01.38,123,11148
mlterm,01.37,124,11048
mlterm,01.40,122,11084
mlterm,01.37,124,11228
mlterm,01.37,124,11104
mlterm,01.34,124,11092
mlterm,01.35,124,11104
mlterm,01.36,124,11148
mlterm,01.40,123,11140
mlterm,01.37,124,11116
mlterm,01.37,123,11060
mlterm,01.38,124,10992
mlterm,01.37,123,10988
mlterm,01.37,124,11060
mlterm,01.38,123,11004
mlterm,01.38,123,11052
mlterm,01.37,124,11084
mlterm,01.40,122,11128
mlterm,01.39,123,11108
mlterm,01.38,123,11140
mlterm,01.37,124,11136
mlterm,01.39,123,10868
mlterm,01.38,123,11096
mlterm,01.35,123,11052
mlterm,01.39,122,11124
mlterm,01.39,123,11068
mlterm,01.38,123,11160
mlterm,01.39,123,11096
mlterm,01.38,123,11096
mlterm,01.38,123,11124
mlterm,01.35,124,10896
mlterm,01.37,123,11008
mlterm,01.38,123,11116
mlterm,01.37,124,10884
mlterm,01.36,123,11104
urxvt,00.42,161,14964
urxvt,00.42,165,14948
urxvt,00.42,160,14680
urxvt,00.42,161,14860
urxvt,00.42,160,14876
urxvt,00.40,162,14948
urxvt,00.42,159,14720
urxvt,00.42,163,14872
urxvt,00.42,159,14976
urxvt,00.41,160,14688
urxvt,00.42,156,14848
urxvt,00.41,160,14876
urxvt,00.42,159,14896
urxvt,00.42,160,14668
urxvt,00.42,160,14832
urxvt,00.41,163,14952
urxvt,00.42,163,14904
urxvt,00.42,164,14672
urxvt,00.41,162,14704
urxvt,00.42,163,14712
urxvt,00.42,158,14868
urxvt,00.41,166,14972
urxvt,00.42,161,14796
urxvt,00.43,163,14924
