"gnome-terminal",konsole,mlterm,pterm,st,terminator,urxvt,"xfce4-terminal",uxterm,terminology
41.52,28.79,20.00,41.44,30.72,45.18,48.03,42.00,30.00,45.37
44.24,28.49,24.97,33.19,29.02,46.13,45.58,46.19,29.51,47.01
46.43,32.32,12.25,43.80,30.87,45.86,32.63,43.97,30.60,37.45
45.77,26.11,13.09,46.82,28.09,47.70,43.88,47.90,29.28,44.02
48.28,28.39,11.54,46.52,31.37,46.34,46.50,46.02,29.88,41.17
46.36,31.39,15.52,46.08,29.88,46.91,46.91,46.46,29.31,44.81
46.16,31.60,27.84,47.26,26.09,46.14,44.94,46.93,30.22,45.67
46.10,29.71,13.05,47.19,29.40,45.86,46.99,46.45,29.35,45.34
47.30,29.11,12.63,45.37,32.88,47.84,45.28,47.44,30.86,47.05
45.58,30.35,13.90,33.52,30.14,45.66,46.66,46.68,30.63,45.97
46.78,29.07,13.12,43.65,31.60,45.13,45.87,46.39,29.49,48.43
42.93,28.52,11.50,46.03,23.85,46.96,46.96,47.34,30.84,44.40
47.66,26.04,14.47,45.89,33.46,48.04,45.15,45.91,27.36,46.97
46.84,39.26,29.03,46.92,28.24,45.62,32.63,45.58,30.37,46.37
46.59,26.98,12.12,46.06,29.75,46.41,44.37,47.75,30.54,45.77
46.69,32.39,12.41,46.76,23.14,46.11,47.13,46.64,25.44,46.97
47.07,29.19,11.99,30.32,35.91,47.36,45.58,46.99,16.06,46.01
45.24,25.89,15.30,45.28,27.30,47.67,46.96,45.86,35.69,45.95
47.32,32.98,27.99,45.35,30.95,45.68,31.95,45.03,27.66,47.29
46.78,28.75,12.70,32.52,24.02,46.31,44.64,46.98,30.64,46.53
46.44,27.90,28.48,45.51,35.67,46.63,45.40,46.00,29.75,45.70
44.31,30.58,11.96,45.74,29.22,46.49,33.37,47.60,28.95,46.99
46.43,29.97,13.17,45.44,31.73,47.42,44.10,45.61,31.02,45.86
46.10,30.09,29.17,45.60,29.02,46.24,46.46,45.23,27.55,46.75
46.43,27.81,12.38,48.09,28.93,46.52,45.62,47.70,31.69,46.86
47.29,31.82,12.50,46.76,30.39,44.83,46.41,45.60,29.17,46.34
44.93,29.90,13.46,46.55,28.78,48.24,46.89,46.23,25.48,47.72
46.71,30.67,27.54,44.70,30.01,46.50,32.87,46.45,34.67,46.12
46.37,28.55,12.48,46.35,31.75,46.61,44.54,45.89,29.21,46.58
45.44,29.43,12.96,45.78,28.56,47.06,45.16,46.43,28.42,45.83
46.65,27.40,12.67,33.07,27.34,45.54,45.15,46.57,30.29,47.20
48.23,31.74,12.45,45.35,30.32,46.42,31.74,46.74,30.83,32.95
46.39,30.15,14.95,44.30,31.34,47.53,45.90,46.58,28.02,57.95
46.22,29.83,28.10,46.42,24.37,45.93,45.15,45.85,30.91,47.15
