xterm,mlterm,kterm,mrxvt,xvt,konsole,urxvt,st,alacritty,putty,"xfce4","gnome",terminator
12.80,13.46,14.34,15.91,9.87,16.11,22.70,24.84,21.55,24.94,31.97,31.58,32.91
5.20,5.72,5.38,18.08,10.74,14.51,23.69,23.74,8.51,28.55,32.91,32.07,30.82
9.01,11.84,7.64,13.44,18.78,16.51,22.25,20.70,27.49,25.05,34.26,32.90,32.88
4.68,13.80,13.92,12.03,13.46,17.42,21.03,18.30,8.28,27.87,30.18,34.41,29.64
13.22,11.05,4.93,11.78,11.35,23.95,23.73,23.95,26.74,30.10,32.04,32.96,33.16
13.22,13.83,5.44,10.50,15.03,18.08,22.61,26.47,28.96,26.73,31.58,28.55,33.85
12.27,12.74,4.78,13.35,21.09,15.93,23.63,21.06,26.08,23.94,31.52,31.86,32.94
13.16,14.29,4.69,5.05,20.09,14.21,21.90,26.18,29.35,24.18,34.85,31.73,35.05
13.80,14.58,6.91,19.04,12.48,17.81,23.71,23.56,26.35,30.61,34.63,35.83,32.63
9.66,5.34,11.78,19.12,18.29,16.59,21.12,24.05,28.47,28.69,31.66,28.87,31.51
5.04,13.99,11.31,16.78,18.43,17.58,20.41,26.12,28.66,29.64,35.95,34.21,28.82
14.56,5.58,5.07,13.35,18.76,15.00,24.55,23.59,23.79,27.90,31.90,32.96,32.64
8.94,12.80,9.02,17.39,18.27,21.55,20.86,26.65,16.36,29.04,31.83,32.84,30.62
13.74,9.81,14.45,12.05,18.05,22.48,23.43,22.93,28.41,30.08,32.06,35.50,34.34
13.10,13.66,9.29,12.84,7.54,21.12,24.08,24.12,10.32,27.24,32.70,33.22,34.01
13.30,4.44,13.06,13.91,13.81,21.24,22.30,23.14,27.04,29.14,34.62,33.25,32.68
5.09,5.18,14.26,12.21,11.94,22.09,21.75,22.72,27.96,27.88,34.94,30.18,31.37
10.70,13.33,11.65,17.54,18.55,21.00,21.56,26.99,25.36,27.81,31.36,32.69,33.02
5.50,13.13,5.57,17.22,17.61,20.97,25.91,22.86,25.41,29.23,31.83,33.93,33.24
5.11,5.18,5.31,13.11,12.55,22.63,20.34,25.02,17.19,29.86,32.04,32.16,29.81
4.93,5.37,14.22,13.05,19.72,22.19,21.27,23.93,30.23,29.07,32.21,34.89,31.60
