"emacs -q",emacs,"vim.gtk3","vim.gtk","vim.athena",gedit
3.64,5.88,20.12,2.59,2.57,4.02
4.77,4.89,6.79,4.44,3.21,6.61
4.04,5.38,3.76,3.76,3.35,4.79
3.89,6.28,21.63,4.37,2.87,4.76
5.03,5.00,20.55,4.53,2.61,3.72
5.37,5.35,19.82,4.75,2.78,4.03
4.18,6.37,18.59,4.73,2.20,4.60
6.10,9.45,21.14,5.22,2.72,4.74
5.26,7.49,22.26,4.72,2.87,2.83
4.31,6.66,20.63,4.40,3.09,4.57
4.95,4.19,2.30,4.81,2.85,4.27
4.39,5.37,20.40,4.59,2.30,6.54
4.85,6.55,21.65,3.51,3.12,7.51
0.92,6.37,20.12,3.66,2.63,6.45
4.09,5.82,21.35,4.60,3.19,7.27
5.06,6.14,1.61,5.20,3.28,8.11
3.86,4.77,20.92,2.31,1.66,7.51
4.71,6.88,20.37,4.46,2.76,6.88
