terminal,time,cpu,memory
pterm,01.99,115,23328
pterm,02.01,115,23060
pterm,01.98,115,23444
pterm,02.01,115,23604
pterm,02.01,115,23592
pterm,01.34,123,23212
pterm,02.00,115,23044
pterm,02.03,115,23096
pterm,01.97,115,23608
pterm,02.03,115,23116
pterm,02.00,115,23296
pterm,02.01,114,23456
pterm,02.00,115,23044
pterm,02.01,115,23480
pterm,01.98,114,23028
pterm,02.00,115,23412
pterm,02.00,115,23552
pterm,02.00,115,23144
pterm,02.01,115,23532
pterm,02.01,115,23380
pterm,01.99,115,23344
pterm,01.99,115,23588
pterm,02.00,115,23364
pterm,02.01,115,23040
pterm,02.00,115,23360
pterm,02.03,115,23688
pterm,02.03,115,23768
pterm,02.00,115,23576
pterm,02.04,115,23044
pterm,02.01,115,23408
pterm,02.01,115,23696
pterm,02.59,91,23168
pterm,01.98,115,23480
pterm,02.00,115,23352
pterm,02.00,115,22964
pterm,01.99,115,23480
pterm,02.03,115,23500
pterm,01.99,115,23432
pterm,01.99,115,23668
pterm,02.00,115,23372
pterm,01.99,115,23364
pterm,02.03,115,23460
pterm,02.01,115,23356
pterm,02.00,115,23476
pterm,02.03,115,23636
pterm,02.00,115,23500
pterm,01.99,115,23152
pterm,02.00,115,23412
pterm,02.02,115,23424
urxvt,00.39,170,31044
urxvt,00.38,171,30964
urxvt,00.38,171,30668
urxvt,00.39,173,30648
urxvt,00.38,172,30960
urxvt,00.39,173,30880
urxvt,00.38,173,30776
urxvt,00.38,172,30840
urxvt,00.38,172,30808
urxvt,00.38,172,31000
urxvt,00.38,171,30644
urxvt,00.40,175,30908
urxvt,00.39,172,30696
urxvt,00.38,172,30776
urxvt,00.38,172,30820
urxvt,00.39,173,30800
urxvt,00.39,172,31036
urxvt,00.38,171,30936
urxvt,00.39,172,30836
urxvt,00.38,172,30676
urxvt,00.38,172,30992
urxvt,00.40,175,30660
urxvt,00.38,171,31092
urxvt,00.38,172,31032
urxvt,00.38,172,30968
urxvt,00.40,173,30676
urxvt,00.40,173,30604
urxvt,00.40,173,30844
urxvt,00.38,173,31032
urxvt,00.38,172,30900
urxvt,00.39,173,30800
urxvt,00.38,173,30660
urxvt,00.38,172,30816
urxvt,00.38,171,30956
urxvt,00.38,172,30676
urxvt,00.40,167,30720
urxvt,00.38,171,30780
urxvt,00.40,174,30876
urxvt,00.38,172,30724
urxvt,00.39,174,31052
urxvt,00.38,172,31012
urxvt,00.38,171,30764
urxvt,00.38,172,30816
urxvt,00.38,172,31068
urxvt,00.38,172,30992
urxvt,00.38,171,30836
urxvt,00.40,174,30792
urxvt,00.38,173,30668
urxvt,00.38,172,30848
urxvt,00.40,174,30764
urxvt,00.38,172,30792
urxvt,00.38,171,30740
urxvt,00.39,173,30836
urxvt,00.39,172,31012
urxvt,00.39,174,30676
urxvt,00.39,174,30956
urxvt,00.40,174,30840
urxvt,00.39,172,30924
urxvt,00.39,172,30880
urxvt,00.38,172,30904
urxvt,00.39,174,30800
urxvt,00.38,171,30912
urxvt,00.39,173,30880
urxvt,00.39,174,31076
urxvt,00.39,172,31088
urxvt,00.38,171,30836
urxvt,00.38,171,30824
urxvt,00.38,172,30864
urxvt,00.39,173,30696
urxvt,00.39,173,31072
urxvt,00.40,175,30724
urxvt,00.39,174,30764
urxvt,00.38,171,30904
urxvt,00.41,166,30696
urxvt,00.38,171,30880
urxvt,00.39,173,30836
urxvt,00.40,176,31072
urxvt,00.38,172,30648
urxvt,00.38,172,30832
urxvt,00.38,173,31056
urxvt,00.38,172,31032
urxvt,00.38,171,30896
urxvt,00.39,173,30692
urxvt,00.38,173,30860
urxvt,00.39,173,30676
urxvt,00.37,172,31108
urxvt,00.38,171,31076
urxvt,00.38,170,30976
urxvt,00.39,173,30892
urxvt,00.38,171,30680
urxvt,00.38,172,30904
urxvt,00.38,173,31068
urxvt,00.39,172,30888
urxvt,00.38,172,30640
urxvt,00.38,172,30692
urxvt,00.38,172,30900
urxvt,00.38,172,30884
urxvt,00.39,173,30916
urxvt,00.38,172,30840
urxvt,00.39,174,31080
stterm,00.39,176,8392
stterm,00.43,173,8540
stterm,00.40,176,8536
stterm,00.39,175,8412
stterm,00.41,171,8608
